index,left_child,right_child,feature,threshold,0,1
0,1,16,0,700.1100805155514,271.0,107.0
1,2,7,2,0.06004485076713671,167.0,19.0
2,3,6,16,6.385832845413049,81.0,4.0
3,4,5,1,0.904523162592446,65.0,4.0
4,-1,-1,-2,-2.0,16.0,0.0
5,-1,-1,-2,-2.0,49.0,4.0
6,-1,-1,-2,-2.0,16.0,0.0
7,8,15,6,3.3249914619722363,86.0,15.0
8,9,10,0,629.7602776483448,73.0,15.0
9,-1,-1,-2,-2.0,23.0,1.0
10,11,14,0,685.0453471183057,50.0,14.0
11,12,13,8,2695.2453772026324,34.0,5.0
12,-1,-1,-2,-2.0,24.0,2.0
13,-1,-1,-2,-2.0,10.0,3.0
14,-1,-1,-2,-2.0,16.0,9.0
15,-1,-1,-2,-2.0,13.0,0.0
16,17,34,6,1.5088061846368044,104.0,88.0
17,18,25,8,2304.4612514159926,88.0,88.0
18,19,24,0,750.6023870560351,47.0,30.0
19,20,21,0,717.7745737567426,42.0,21.0
20,-1,-1,-2,-2.0,15.0,4.0
21,22,23,0,722.6850054434897,27.0,17.0
22,-1,-1,-2,-2.0,8.0,5.0
23,-1,-1,-2,-2.0,19.0,12.0
24,-1,-1,-2,-2.0,5.0,9.0
25,26,33,7,0.7235640649327841,41.0,58.0
26,27,28,0,721.4725752065297,28.0,45.0
27,-1,-1,-2,-2.0,9.0,8.0
28,29,30,5,4.557311563546449,19.0,37.0
29,-1,-1,-2,-2.0,10.0,12.0
30,31,32,0,745.5423641421564,9.0,25.0
31,-1,-1,-2,-2.0,5.0,10.0
32,-1,-1,-2,-2.0,4.0,15.0
33,-1,-1,-2,-2.0,13.0,13.0
34,-1,-1,-2,-2.0,16.0,0.0
