Credibility_pct,PageViewsLift
99.8024996781,-0.564234784778
99.6406818614,-0.443985500096
99.1893919604,-0.367691184281
98.4678981978,-0.310297942399
97.5335399752,-0.26361296765
96.4398526467,-0.223876721704
95.2294791217,-0.189035807434
93.9349867915,-0.157839924229
92.5809970318,-0.129468516567
91.1861352149,-0.103352589323
89.7645508289,-0.0790805602574
88.3270477228,-0.0563445683721
86.8819136561,-0.0349079728525
85.4355292958,-0.0145847129669
83.9928178914,0.00477432709681
82.5575800047,0.0232906286325
81.1327449033,0.0410645771557
79.720561066,0.0581801672699
78.3227418103,0.0747084602418
76.9405775312,0.0907101725741
75.5750228772,0.106237646161
74.2267649432,0.121336369987
72.8962769662,0.136046171111
71.5838608593,0.150402158032
70.2896810914,0.164435476121
69.0137918047,0.178173918621
67.7561586191,0.191642425407
66.5166762322,0.204863493587
65.2951826757,0.217857518244
64.0914708983,0.230643077282
62.9052982,0.243237171255
61.7363939305,0.255655426612
60.5844657827,0.26791226906
59.4492049397,0.280021072336
58.3302902871,0.291994286663
57.2273918574,0.303843550292
56.1401736443,0.315579786953
55.0682958956,0.327213291482
54.0114169749,0.338753805515
52.9691948662,0.350210584818
51.9412883805,0.361592459552
50.9273581139,0.372907888587
49.9270671979,0.384165008787
48.9400818753,0.395371680083
47.9660719284,0.406535527014
47.0047109835,0.417663977336
46.0556767095,0.428764298247
45.1186509261,0.439843630692
44.1933196346,0.450909022182
43.2793729809,0.461967458532
42.3765051595,0.473025894882
41.4844142651,0.484091286372
40.6028020963,0.495170618817
39.731373916,0.506270939728
38.8698381698,0.51739939005
38.0179061657,0.52856323698
37.1752917135,0.539769908277
36.3417107257,0.551027028477
35.516880776,0.562342457512
34.7005206149,0.573724332246
33.8923496374,0.585181111549
33.0920872989,0.596721625582
32.2994524727,0.608355130111
31.514162742,0.620091366772
30.7359336162,0.631940630401
29.964477661,0.643913844727
29.1995035273,0.656022648004
28.4407148632,0.668279490451
27.6878090869,0.680697745808
26.9404759956,0.693291839782
26.1983961803,0.70607739882
25.4612392062,0.719071423476
24.7286615121,0.732292491657
24.0003039691,0.745760998442
23.2757890221,0.759499440943
22.5547173217,0.773532759031
21.8366637207,0.787888745953
21.1211724813,0.802598547077
20.407751485,0.817697270903
19.6958651751,0.83322474449
18.9849258684,0.849226456822
18.2742829471,0.865754749794
17.5632092543,0.882870339908
16.8508837535,0.900644288431
16.1363691123,0.919160589967
15.4185822686,0.938519630031
14.6962550978,0.958842889916
13.9678807952,0.980279485436
13.2316390989,1.00301547732
12.4852892138,1.02728750639
11.726011658,1.05340343363
10.9501658765,1.08177484129
10.1529017213,1.1129707245
9.3275010227,1.14781163877
8.46417933717,1.18754788471
7.54768849907,1.23423285946
6.55183545335,1.29162610135
5.42409665487,1.36792041716
4.02273336818,1.48816970184
