Credibility_pct,ProbLift
99.7819525386,-0.443598236033
99.5231203296,-0.349262489361
98.9731994712,-0.289409482598
98.1864717657,-0.244384397075
97.2218033604,-0.2077599634
96.1260402086,-0.176586818036
94.9344686895,-0.149254067816
93.6734646165,-0.124780850008
92.3628433509,-0.102523437558
91.0176182628,-0.0820354529255
89.6492649187,-0.062994009218
88.2666250562,-0.0451575890138
86.8765571488,-0.0283405472343
85.4844096068,-0.0123969189524
84.0943690952,0.00279027741302
82.7097200047,0.0173163441219
81.333039961,0.0312600337636
79.9663487265,0.0446872402325
78.6112227343,0.0576537112003
77.2688839965,0.0702070788557
75.9402697007,0.0823884054938
74.626087107,0.094233377293
73.3268571573,0.105773238641
72.042949338,0.117035532209
70.7746097137,0.128044691588
69.5219835894,0.138822520619
68.2851339182,0.149388584671
67.0640563177,0.159760532761
65.858691368,0.169954364861
64.6689347165,0.179984655368
63.4946454078,0.189864741239
62.3356527651,0.199606881448
61.1917620903,0.209222392985
60.0627593906,0.218721767567
58.9484153041,0.228114772412
57.8484883621,0.237410537745
56.7627276998,0.246617633251
55.6908753072,0.255744135242
54.6326678965,0.264797686049
53.5878384461,0.273785546832
52.556117474,0.282714644867
51.5372340816,0.29159161615
50.5309168032,0.300422844063
49.5368942908,0.309214494735
48.5548958575,0.317972549627
47.5846519004,0.326702835825
46.6258942192,0.335411054458
45.6783562443,0.344102807607
44.7417731862,0.352783624057
43.8158821159,0.361458984187
42.9004219826,0.370134344318
41.9951335764,0.378815160767
41.0997594402,0.387506913916
40.2140437337,0.396215132549
39.3377320535,0.404945418747
38.4705712095,0.413703473639
37.612308959,0.422495124311
36.7626936974,0.431326352225
35.9214741051,0.440203323507
35.0883987477,0.449132421543
34.2632156261,0.458120282326
33.4456716728,0.467173833132
32.6355121875,0.476300335124
31.8324802055,0.485507430629
31.0363157907,0.494803195963
30.2467552401,0.504196200808
29.4635301884,0.51369557539
28.6863665957,0.523311086926
27.9149835982,0.533053227136
27.1490921965,0.542933313007
26.3883937538,0.552963603513
25.6325782639,0.563157435613
24.8813223449,0.573529383704
24.1342868998,0.584095447756
23.3911143717,0.594873276787
22.6514255009,0.605882436165
21.9148154668,0.617144729733
21.1808492606,0.628684591081
20.449056091,0.640529562881
19.7189225605,0.652710889519
18.9898842603,0.665264257174
18.2613153104,0.678230728142
17.5325151923,0.691657934611
16.8026919641,0.705601624253
16.0709405654,0.720127690961
15.3362143344,0.735314887327
14.5972869581,0.751258515609
13.852700622,0.768075557388
13.1006937325,0.785911977592
12.3390974767,0.8049534213
11.5651831382,0.825441405932
10.775428271,0.847698818382
9.96514222954,0.87217203619
9.12783220284,0.89950478641
8.25405088919,0.930677931774
7.32909433686,0.967302365449
6.32774836652,1.01232745097
5.19957816383,1.07218045774
3.80903000301,1.16651620441
