Credibility_pct,exp_min_return_ProbDiff
98.5625938403,-0.059152059141
97.5030948966,-0.0463914073584
96.4865255851,-0.0382951401536
95.492114613,-0.0322328278207
94.5112739567,-0.0273389204167
93.5394406687,-0.023214051623
92.5738464849,-0.0196389895523
91.6126652007,-0.0164796120049
90.654619998,-0.0136475035967
89.6987791296,-0.0110810977716
88.7444399367,-0.00873568598973
87.7910585397,-0.00657770519333
86.838204968,-0.00458127108113
85.8855333128,-0.00272597108297
84.9327611824,-0.000995402838423
83.9796551516,0.000623826123807
83.0260202002,0.00214280253869
82.0716918858,0.00357081521022
81.116530435,0.00491572901042
80.160416212,0.00618426547238
79.2032461922,0.00738221678204
78.2449311855,0.00851461137926
77.2853936224,0.0095858438019
76.3245657731,0.0105997777056
75.3623883013,0.0115598284823
74.3988090793,0.0124690301678
73.4337822111,0.0133300901134
72.4672672209,0.0141454340252
71.4992283756,0.014917243351
70.5296341158,0.0156474865301
69.5584565756,0.0163379452836
68.5856711761,0.0169902368636
67.6112562797,0.0176058329884
66.635192896,0.0181860760387
65.6574644305,0.0187321929796
64.6780564696,0.0192453073795
63.6969565974,0.019726449831
62.7141542387,0.0201765670191
61.7296405261,0.0205965296419
60.7434081865,0.0209871393526
59.7554514459,0.02134913486
58.7657659506,0.0216831973071
57.7743487012,0.0219899550231
56.7811980012,0.0222699877335
55.7863134156,0.0225238302949
54.7896957419,0.0227519760169
53.7913469902,0.0229548796179
52.7912703737,0.0231329598604
51.7894703078,0.0232866019009
50.7859524192,0.0234161593857
49.780723563,0.0235219563207
48.7737918499,0.0236042887374
47.7651666822,0.0236634261749
46.7548587987,0.0236996129956
45.742880331,0.0237130695495
44.7292448696,0.023703993198
43.7139675409,0.0236725592097
42.697065098,0.0236189215365
41.6785560231,0.023543213476
40.6584606466,0.0234455482292
39.6368012807,0.0233260193553
38.613602373,0.0231847011282
37.5888906799,0.023021648798
36.5626954629,0.0228368987573
35.5350487127,0.0226304686124
34.5059854021,0.0224023571593
33.4755437747,0.0221525442607
32.4437656735,0.0218809906215
31.4106969161,0.0215876374559
30.3763877244,0.0212724060406
29.3408932184,0.0209351971445
28.3042739851,0.0205758903228
27.2665967375,0.0201943430638
26.2279350795,0.0197903897695
25.1883703999,0.0193638405506
24.147992922,0.01891447981
23.1069029409,0.0184420645844
22.0652122947,0.0179463226065
21.0230461227,0.0174269500412
19.9805449821,0.0168836088397
18.9378674193,0.0163159236403
17.8951931182,0.0157234781279
16.8527267949,0.015105810743
15.8107030676,0.0144624096
14.7693926197,0.0137927064394
13.7291101072,0.0130960693858
12.6902244593,0.012371794224
11.6531725345,0.0116190938162
10.6184775902,0.0108370851812
9.58677485235,0.0100247736219
8.55884789474,0.0091810331523
7.53568211338,0.00830458238425
6.51854650561,0.0073939552043
5.50912503598,0.00644746664514
4.50974133328,0.00546317855239
3.52377642921,0.0044388850684
2.55654156555,0.00337219921962
1.6174572518,0.00226111666923
0.727538361861,0.00110753032563
