OddsFactor,exp_min_return
0.435765215222,-0.563120419262
0.556014499904,-0.442390179662
0.632308815719,-0.36471064998
0.689702057601,-0.305543862031
0.73638703235,-0.257111059183
0.776123278296,-0.215906380521
0.810964192566,-0.180017814773
0.842160075771,-0.148266911976
0.870531483433,-0.11986324348
0.896647410677,-0.094243231848
0.920919439743,-0.0709863097081
0.943655431628,-0.0497674937953
0.965092027147,-0.0303287148328
0.985415287033,-0.0124605267195
1.0047743271,0.00401009186397
1.02329062863,0.0192281793669
1.04106457716,0.0333168186293
1.05818016727,0.0463815557767
1.07470846024,0.0585137144256
1.09071017257,0.0697929306581
1.10623764616,0.08028912539
1.12133636999,0.0900640621407
1.13604617111,0.0991725936949
1.15040215803,0.107663671535
1.16443547612,0.115581171766
1.17817391862,0.122964577248
1.19164242541,0.12984954574
1.20486349359,0.136268386748
1.21785751824,0.14225046451
1.23064307728,0.147822540755
1.24323717126,0.153009067911
1.25565542661,0.157832441278
1.26791226906,0.162313216976
1.28002107234,0.166470301168
1.29199428666,0.170321115032
1.30384355029,0.173881739159
1.31557978695,0.177167040382
1.32721329148,0.180190783563
1.33875380551,0.182965730415
1.35021058482,0.185503727114
1.36159245955,0.187815782178
1.37290788859,0.189912135855
1.38416500879,0.191802322088
1.39537168008,0.193495223945
1.40653552701,0.194999123302
1.41766397734,0.196321745429
1.42876429825,0.197470299046
1.43984363069,0.198451512353
1.45090902218,0.199271665434
1.46196745853,0.199936619428
1.47302589488,0.20045184275
1.48409128637,0.20082243466
1.49517061882,0.201053146397
1.50627093973,0.201148400091
1.51739939005,0.201112305604
1.52856323698,0.200948675461
1.53976990828,0.200661037984
1.55102702848,0.200252648709
1.56234245751,0.199726500187
1.57372433225,0.199085330184
1.58518111155,0.198331628338
1.59672162558,0.197467641269
1.60835513011,0.196495376115
1.62009136677,0.195416602473
1.6319406304,0.194232852654
1.64391384473,0.192945420159
1.656022648,0.191555356244
1.66827949045,0.190063464369
1.68069774581,0.188470292318
1.69329183978,0.186776121675
1.70607739882,0.184980954282
1.71907142348,0.183084495195
1.73229249166,0.181086131541
1.74576099844,0.178984906509
1.75949944094,0.176779487498
1.77353275903,0.17446812719
1.78788874595,0.172048615947
1.80259854708,0.169518223461
1.8176972709,0.166873626946
1.83322474449,0.16411082228
1.84922645682,0.161225013283
1.86575474979,0.158210472605
1.88287033991,0.155060365243
1.90064428843,0.151766522077
1.91916058997,0.148319145532
1.93851963003,0.144706421263
1.95884288992,0.140913997089
1.98027948544,0.136924269985
2.00301547732,0.132715388065
2.02728750639,0.128259816229
2.05340343363,0.123522209433
2.08177484129,0.118456139531
2.1129707245,0.112998823845
2.14781163877,0.107062142345
2.18754788471,0.100516182677
2.23423285946,0.0931560515854
2.29162610135,0.0846252168327
2.36792041716,0.0741973255884
2.48816970184,0.0598650991712
