PageViewsDiff,exp_min_return
-0.0839992304547,-0.0823930603799
-0.0656809559735,-0.0636198285711
-0.0540585981179,-0.0517484081286
-0.0453155510308,-0.0428850189916
-0.0382037566958,-0.0357487206307
-0.0321505027241,-0.0297487159601
-0.0268429831621,-0.0245608314121
-0.0220907324294,-0.0199868349171
-0.0177687505204,-0.0158961089542
-0.0137903590908,-0.0121977406279
-0.0100928594191,-0.00882573826799
-0.00662935324478,-0.00573058049892
-0.00336379169314,-0.00287408890606
-0.000267831048365,-0.000226164623982
0.00268124437039,0.00223737218843
0.00550194051677,0.0045362607112
0.00820954970148,0.0066868398527
0.0108168673121,0.00870279833938
0.0133347185257,0.0105957270148
0.0157723526409,0.0123755330967
0.0181377432036,0.0140507560278
0.020437819816,0.0156288118435
0.0226786495662,0.0171161847302
0.0248655807365,0.0185185789771
0.0270033578826,0.0198410408117
0.0290962149115,0.0210880570495
0.0311479510595,0.0222636356886
0.0331619934424,0.0233713722975
0.0351414489618,0.0244145051171
0.0370891476985,0.0253959611157
0.0390076794457,0.0263183947343
0.0408994246716,0.0271842206782
0.0427665809279,0.0279956418274
0.0446111855145,0.0287546731148
0.0464351350461,0.029463162058
0.0482402024452,0.0301228064908
0.0500280517875,0.0307351699456
0.0518002513453,0.0313016950491
0.0535582851188,0.0318237152328
0.0553035630928,0.0323024650062
0.0570374304172,0.032739088999
0.0587611756808,0.0331346499442
0.0604760384198,0.0334901357465
0.0621832159833,0.0338064657575
0.0638838698615,0.0340844963603
0.0655791315679,0.0343250259508
0.0672701081572,0.0345287993908
0.0689578874511,0.0346965119941
0.0706435430381,0.0348288131032
0.0723281391081,0.0349263092999
0.074012735178,0.034989567293
0.075698390765,0.0350191165156
0.0773861700589,0.0350154514632
0.0790771466482,0.0349790337981
0.0807724083546,0.034910294242
0.0824730622328,0.0348096342768
0.0841802397963,0.03467742767
0.0858951025353,0.0345140218385
0.0876188477989,0.0343197390627
0.0893527151233,0.0340948775627
0.0910979930973,0.033839712442
0.0928560268709,0.0335544965085
0.0946282264286,0.0332394609756
0.0964160757709,0.032894816048
0.0982211431701,0.0325207513945
0.100045092702,0.0321174365072
0.101889697288,0.0316850209465
0.103756853545,0.0312236344693
0.10564859877,0.0307333870341
0.107567130518,0.0302143686766
0.109514829254,0.0296666492453
0.111494284774,0.0290902779835
0.113508327157,0.0284852829415
0.115560063305,0.0278516701948
0.117652920334,0.027189422843
0.11979069748,0.0264984997511
0.12197762865,0.02577883399
0.1242184584,0.0250303309161
0.126518535013,0.0242528658167
0.128883925575,0.0234462810236
0.13132155969,0.0226103823682
0.133839410904,0.0217449348097
0.136446728515,0.0208496570124
0.139154337699,0.0199242145643
0.141975033846,0.0189682114164
0.144924109264,0.017981178946
0.148020069909,0.0169625617926
0.151285631461,0.0159116992101
0.154749137635,0.014827800045
0.158446637307,0.0137099083979
0.162425028736,0.0125568552258
0.166747010646,0.0113671879212
0.171499261378,0.0101390638005
0.17680678094,0.00887008110729
0.182860034912,0.00755699408958
0.189971829247,0.00619519284487
0.198714876334,0.00477764402789
0.21033723419,0.00329235652492
0.228655508671,0.00171446523706
