PageViewsLift,exp_min_return
-0.564234784778,-0.563120419262
-0.443985500096,-0.442390179662
-0.367691184281,-0.36471064998
-0.310297942399,-0.305543862031
-0.26361296765,-0.257111059183
-0.223876721704,-0.215906380521
-0.189035807434,-0.180017814773
-0.157839924229,-0.148266911976
-0.129468516567,-0.11986324348
-0.103352589323,-0.094243231848
-0.0790805602574,-0.0709863097081
-0.0563445683721,-0.0497674937953
-0.0349079728525,-0.0303287148328
-0.0145847129669,-0.0124605267195
0.00477432709681,0.00401009186397
0.0232906286325,0.0192281793669
0.0410645771557,0.0333168186293
0.0581801672699,0.0463815557767
0.0747084602418,0.0585137144256
0.0907101725741,0.0697929306581
0.106237646161,0.08028912539
0.121336369987,0.0900640621407
0.136046171111,0.0991725936949
0.150402158032,0.107663671535
0.164435476121,0.115581171766
0.178173918621,0.122964577248
0.191642425407,0.12984954574
0.204863493587,0.136268386748
0.217857518244,0.14225046451
0.230643077282,0.147822540755
0.243237171255,0.153009067911
0.255655426612,0.157832441278
0.26791226906,0.162313216976
0.280021072336,0.166470301168
0.291994286663,0.170321115032
0.303843550292,0.173881739159
0.315579786953,0.177167040382
0.327213291482,0.180190783563
0.338753805515,0.182965730415
0.350210584818,0.185503727114
0.361592459552,0.187815782178
0.372907888587,0.189912135855
0.384165008787,0.191802322088
0.395371680083,0.193495223945
0.406535527014,0.194999123302
0.417663977336,0.196321745429
0.428764298247,0.197470299046
0.439843630692,0.198451512353
0.450909022182,0.199271665434
0.461967458532,0.199936619428
0.473025894882,0.20045184275
0.484091286372,0.20082243466
0.495170618817,0.201053146397
0.506270939728,0.201148400091
0.51739939005,0.201112305604
0.52856323698,0.200948675461
0.539769908277,0.200661037984
0.551027028477,0.200252648709
0.562342457512,0.199726500187
0.573724332246,0.199085330184
0.585181111549,0.198331628338
0.596721625582,0.197467641269
0.608355130111,0.196495376115
0.620091366772,0.195416602473
0.631940630401,0.194232852654
0.643913844727,0.192945420159
0.656022648004,0.191555356244
0.668279490451,0.190063464369
0.680697745808,0.188470292318
0.693291839782,0.186776121675
0.70607739882,0.184980954282
0.719071423476,0.183084495195
0.732292491657,0.181086131541
0.745760998442,0.178984906509
0.759499440943,0.176779487498
0.773532759031,0.17446812719
0.787888745953,0.172048615947
0.802598547077,0.169518223461
0.817697270903,0.166873626946
0.83322474449,0.16411082228
0.849226456822,0.161225013283
0.865754749794,0.158210472605
0.882870339908,0.155060365243
0.900644288431,0.151766522077
0.919160589967,0.148319145532
0.938519630031,0.144706421263
0.958842889916,0.140913997089
0.980279485436,0.136924269985
1.00301547732,0.132715388065
1.02728750639,0.128259816229
1.05340343363,0.123522209433
1.08177484129,0.118456139531
1.1129707245,0.112998823845
1.14781163877,0.107062142345
1.18754788471,0.100516182677
1.23423285946,0.0931560515854
1.29162610135,0.0846252168327
1.36792041716,0.0741973255884
1.48816970184,0.0598650991712
