ProbDiff,exp_min_return
-0.0600147143417,-0.059152059141
-0.0475794203328,-0.0463914073584
-0.0396896249724,-0.0382951401536
-0.0337544392553,-0.0322328278207
-0.0289266235362,-0.0273389204167
-0.0248173940929,-0.023214051623
-0.0212144037414,-0.0196389895523
-0.0179883556152,-0.0164796120049
-0.015054393915,-0.0136475035967
-0.0123536773623,-0.0110810977716
-0.00984364315777,-0.00873568598973
-0.0074924545879,-0.00657770519333
-0.00527564000524,-0.00458127108113
-0.00317395838138,-0.00272597108297
-0.00117198925899,-0.000995402838423
0.000742830061258,0.000623826123807
0.00258088070887,0.00214280253869
0.00435084878619,0.00357081521022
0.00606008292522,0.00491572901042
0.00771486197879,0.00618426547238
0.00932059875946,0.00738221678204
0.0108819974026,0.00851461137926
0.0124031765287,0.0095858438019
0.0138877667999,0.0105997777056
0.0153389890406,0.0115598284823
0.016759717423,0.0124690301678
0.018152531045,0.0133300901134
0.0195197563917,0.0141454340252
0.0208635025719,0.014917243351
0.0221856907756,0.0156474865301
0.0234880790746,0.0163379452836
0.024772283441,0.0169902368636
0.0260397956749,0.0176058329884
0.0272919987898,0.0181860760387
0.0285301802956,0.0187321929796
0.0297555437346,0.0192453073795
0.0309692187583,0.019726449831
0.0321722699827,0.0201765670191
0.033365704816,0.0205965296419
0.0345504804212,0.0209871393526
0.0357275099484,0.02134913486
0.0368976681514,0.0216831973071
0.0380617964849,0.0219899550231
0.039220707765,0.0222699877335
0.040375190465,0.0225238302949
0.0415260127088,0.0227519760169
0.0426739260164,0.0229548796179
0.0438196688518,0.0231329598604
0.0449639700164,0.0232866019009
0.0461075519317,0.0234161593857
0.0472511338469,0.0235219563207
0.0483954350116,0.0236042887374
0.0495411778469,0.0236634261749
0.0506890911545,0.0236996129956
0.0518399133983,0.0237130695495
0.0529943960984,0.023703993198
0.0541533073784,0.0236725592097
0.0553174357119,0.0236189215365
0.056487593915,0.023543213476
0.0576646234422,0.0234455482292
0.0588493990473,0.0233260193553
0.0600428338806,0.0231847011282
0.061245885105,0.023021648798
0.0624595601287,0.0228368987573
0.0636849235677,0.0226304686124
0.0649231050736,0.0224023571593
0.0661753081885,0.0221525442607
0.0674428204223,0.0218809906215
0.0687270247887,0.0215876374559
0.0700294130877,0.0212724060406
0.0713516012915,0.0209351971445
0.0726953474716,0.0205758903228
0.0740625728183,0.0201943430638
0.0754553864403,0.0197903897695
0.0768761148228,0.0193638405506
0.0783273370634,0.01891447981
0.0798119273346,0.0184420645844
0.0813331064607,0.0179463226065
0.0828945051039,0.0174269500412
0.0845002418845,0.0168836088397
0.0861550209381,0.0163159236403
0.0878642550771,0.0157234781279
0.0896342231545,0.015105810743
0.0914722738021,0.0144624096
0.0933870931223,0.0137927064394
0.0953890622447,0.0130960693858
0.0974907438686,0.012371794224
0.0997075584512,0.0116190938162
0.102058747021,0.0108370851812
0.104568781226,0.0100247736219
0.107269497778,0.0091810331523
0.110203459479,0.00830458238425
0.113429507605,0.0073939552043
0.117032497956,0.00644746664514
0.1211417274,0.00546317855239
0.125969543119,0.0044388850684
0.131904728836,0.00337219921962
0.139794524196,0.00226111666923
0.152229818205,0.00110753032563
